Origen;Destino;Longitud de interestaci¢n;;
Ocean¡a;Romero Rubio;809;;
Romero Rubio;Ricardo Flores Mag¢n;908;;
Ricardo Flores Mag¢n;San L zaro;907;;
San L zaro;Morelos;1.296;;
Morelos;Tepito;498;;
Tepito;Lagunilla;611;;
Lagunilla;Garibaldi;474;;
Garibaldi;Guerrero;757;;
Guerrero;Buenavista;521;;
Tl huac;Tlaltenco;1.298;;
Tlaltenco;Zapotitl n;1.115;;
Zapotitl n;Nopalera;1.276;;
Nopalera;Olivos;1.360;;
Olivos;Tezonco;490;;
Tezonco;Perif‚rico Oriente;1.545;;
Perif‚rico Oriente;Calle 11;1.111;;
Calle 11;Lomas Estrella;906;;
Lomas Estrella;San Andr‚s Tomatl n;1.060;;
San Andr‚s Tomatl n;Culhuac n;990;;
Culhuac n;Atlalilco;1.671;;
Atlalilco;Mexicaltzingo;1.922;;
Mexicaltzingo;Ermita;1.805;;
Ermita;Eje Central;895;;
Eje Central;Parque de los Venados;1.280;;
Parque de los Venados;Zapata;563;;
Zapata;Hospital 20 de Noviembre;450;;
Hospital 20 de Noviembre;Insurgentes Sur;725;;
Insurgentes Sur;Mixcoac;651;;
